#Parameters from JPLUS_DR1
#TILE_ID,26214
#NUMBER,16917
#ALPHA_J2000,222.0020
#DELTA_J2000,52.9054
#J0378,18.216,0.072
#J0395,17.997,0.060
#J0410,17.715,0.038
#J0430,17.647,0.034
#J0515,17.469,0.029
#J0660,17.392,0.023
#J0861,17.296,0.046
#gSDSS,17.543,0.019
#iSDSS,17.323,0.020
#rSDSS,17.337,0.015
#uJAVA,18.738,0.114
#zSDSS,17.430,0.048
#HJD,DMAG,DMAGERR,FILTER
2457943.48617194,-0.039,0.218,J0395
2457943.48751447,-0.007,0.212,J0395
2457943.48883386,-0.224,0.216,J0395
2457945.43528898,-0.276,0.168,J0395
2457945.43661994,0.149,0.236,J0395
2457945.43796248,0.313,0.162,J0395
2458209.57236567,0.305,0.194,J0395
2458209.58119667,0.602,0.244,J0395
2458209.59003924,0.294,0.171,J0395
2458256.59729231,-0.271,0.213,J0395
2458256.60622719,-0.225,0.143,J0395
2458256.61517365,-0.526,0.079,J0395
2458260.54121832,-0.202,0.207,J0395
2458260.55015319,-0.052,0.116,J0395
2458260.55908806,-0.087,0.063,J0395
2458543.68356805,-0.062,0.124,J0395
2458543.69252657,-0.198,0.210,J0395
2458543.70149666,0.007,0.133,J0395
2458566.67986115,0.130,0.121,J0395
2458566.68880794,0.048,0.208,J0395
2458566.69774316,0.207,0.126,J0395
2458604.58922866,0.284,0.179,J0395
2458604.59816363,0.157,0.126,J0395
2458604.60708703,0.137,0.206,J0395
2458609.51506371,-0.011,0.155,J0395
2458609.52401023,0.107,0.185,J0395
2458609.53292203,0.238,0.078,J0395
2458614.41115140,0.093,0.084,J0395
2458614.42007475,-0.023,0.123,J0395
2458616.41815066,-0.016,0.206,J0395
2458616.42709715,0.029,0.161,J0395
2458616.43602048,-0.190,0.179,J0395
2457943.49002593,-0.046,0.044,gSDSS
2457943.49074350,0.025,0.065,gSDSS
2457943.49144948,-0.129,0.050,gSDSS
2457945.43915456,-0.019,0.059,gSDSS
2457945.43987212,0.000,0.050,gSDSS
2457945.44057811,-0.041,0.054,gSDSS
2458209.57346521,0.359,0.046,gSDSS
2458209.58227306,0.408,0.049,gSDSS
2458209.59113877,0.310,0.048,gSDSS
2458256.59840338,-0.251,0.021,gSDSS
2458256.60733826,-0.347,0.026,gSDSS
2458256.61628472,-0.413,0.019,gSDSS
2458260.54232940,0.093,0.021,gSDSS
2458260.55126426,0.002,0.018,gSDSS
