Method, Filter, Result
IQR, J0395, 0.051500000000000004
IQR, gSDSS, 0.023
IQR, J0515, 0.0365
IQR, rSDSS, 0.004
IQR, J0660, 0.017
IQR, iSDSS, 0.0135
IQR, J0861, 0.01
IQR Weighted, J0395, 26.70780915997038
IQR Weighted, gSDSS, 1233.75
IQR Weighted, J0515, 225.4819875831505
IQR Weighted, rSDSS, 182.5
IQR Weighted, J0660, 574.719387755102
IQR Weighted, iSDSS, 543.0785123966942
IQR Weighted, J0861, 530.0
ETA, J0395, 0.5155094291101829
ETA, gSDSS, 1.3129776287169699
ETA, J0515, 1.2759915302377445
ETA, rSDSS, 0.4627017800964648
ETA, J0660, 1.2458050648146952
ETA, iSDSS, 0.6351071763720537
ETA, J0861, 0.8471439591876451
ETA Weighted, J0395, 0.7160140065563448
ETA Weighted, gSDSS, 23.043367398414283
ETA Weighted, J0515, 9.445010188915864
ETA Weighted, rSDSS, 28.301482277388992
ETA Weighted, J0660, 43.12635376758148
ETA Weighted, iSDSS, 2.582704224440898
ETA Weighted, J0861, 15.47644343678337

